"Hari","Tanggal","Prediksi_Harga","Batas_Bawah_95","Batas_Atas_95"
1,2026-04-03,1449.48,1358.05,1547.07
2,2026-04-04,1450.79,1272.86,1653.58
3,2026-04-05,1451.44,1192.46,1766.68
4,2026-04-06,1451.94,1116.9,1887.48
5,2026-04-07,1452.36,1045.99,2016.6
6,2026-04-08,1452.73,979.49,2154.64
7,2026-04-09,1453.07,917.13,2302.19
8,2026-04-10,1453.36,858.68,2459.9
9,2026-04-11,1453.63,803.91,2628.44
10,2026-04-12,1453.87,752.6,2808.56
11,2026-04-13,1454.08,704.53,3001.04
12,2026-04-14,1454.26,659.52,3206.71
13,2026-04-15,1454.43,617.36,3426.49
14,2026-04-16,1454.58,577.88,3661.32
15,2026-04-17,1454.71,540.92,3912.23
16,2026-04-18,1454.83,506.31,4180.33
17,2026-04-19,1454.94,473.91,4466.79
18,2026-04-20,1455.03,443.57,4772.86
19,2026-04-21,1455.12,415.18,5099.89
20,2026-04-22,1455.19,388.6,5449.3
21,2026-04-23,1455.26,363.71,5822.64
22,2026-04-24,1455.32,340.42,6221.54
23,2026-04-25,1455.37,318.62,6647.74
24,2026-04-26,1455.42,298.21,7103.12
25,2026-04-27,1455.46,279.11,7589.67
26,2026-04-28,1455.5,261.23,8109.53
27,2026-04-29,1455.53,244.5,8664.98
28,2026-04-30,1455.56,228.83,9258.46
29,2026-05-01,1455.59,214.17,9892.56
30,2026-05-02,1455.61,200.45,10570.08
31,2026-05-03,1455.63,187.61,11293.98
32,2026-05-04,1455.65,175.59,12067.44
33,2026-05-05,1455.67,164.34,12893.85
34,2026-05-06,1455.68,153.81,13776.85
35,2026-05-07,1455.7,143.95,14720.29
36,2026-05-08,1455.71,134.73,15728.34
37,2026-05-09,1455.72,126.1,16805.39
38,2026-05-10,1455.73,118.02,17956.19
39,2026-05-11,1455.74,110.46,19185.78
40,2026-05-12,1455.74,103.38,20499.56
